Timestamp,TagID,x(m),y(m),theta(rad),
2020-03-10T17:00:03.352310+00:00,42,0.376306,-0.56622,0.0861597,
2020-03-10T17:00:03.386607+00:00,42,0.375965,-0.565366,0.0913397,
2020-03-10T17:00:03.419431+00:00,42,0.375993,-0.564728,0.0966887,
2020-03-10T17:00:03.451261+00:00,42,0.376014,-0.564426,0.0985134,
2020-03-10T17:00:03.491111+00:00,42,0.376144,-0.564081,0.0973786,
2020-03-10T17:00:03.523644+00:00,42,0.376336,-0.562997,0.0878828,
2020-03-10T17:00:03.554778+00:00,42,0.376242,-0.561935,0.0836976,
2020-03-10T17:00:03.589701+00:00,42,0.376019,-0.560328,0.0823837,
2020-03-10T17:00:03.618713+00:00,42,0.375573,-0.558743,0.0858807,
2020-03-10T17:00:03.656194+00:00,42,0.374977,-0.557523,0.0885931,
2020-03-10T17:00:03.691969+00:00,42,0.375071,-0.556502,0.0922481,
2020-03-10T17:00:03.723075+00:00,42,0.374994,-0.556041,0.0974269,
2020-03-10T17:00:03.755600+00:00,42,0.375089,-0.554629,0.0885844,
2020-03-10T17:00:03.790954+00:00,42,0.375566,-0.552948,0.08328,
2020-03-10T17:00:03.818775+00:00,42,0.374799,-0.55145,0.0854562,
2020-03-10T17:00:03.850855+00:00,42,0.374799,-0.55145,0.0854562,
2020-03-10T17:00:03.890230+00:00,42,0.374462,-0.549483,0.0895552,
2020-03-10T17:00:03.919442+00:00,42,0.374271,-0.548903,0.0893599,
2020-03-10T17:00:03.950445+00:00,42,0.374238,-0.548317,0.0909817,
2020-03-10T17:00:03.987054+00:00,42,0.374307,-0.548132,0.091463,
2020-03-10T17:00:04.019302+00:00,42,0.374553,-0.547352,0.0876356,
2020-03-10T17:00:04.051329+00:00,42,0.374227,-0.546153,0.085663,
2020-03-10T17:00:04.087087+00:00,42,0.373986,-0.543619,0.0865034,
2020-03-10T17:00:04.118517+00:00,42,0.373986,-0.543619,0.0865034,
2020-03-10T17:00:04.152279+00:00,42,0.373583,-0.540904,0.0950546,
2020-03-10T17:00:04.186536+00:00,42,0.373866,-0.540404,0.0955397,
2020-03-10T17:00:04.219822+00:00,42,0.374173,-0.539971,0.0967392,
2020-03-10T17:00:04.250726+00:00,42,0.373997,-0.53834,0.0853529,
2020-03-10T17:00:04.286699+00:00,42,0.374033,-0.537449,0.0850282,
2020-03-10T17:00:04.318991+00:00,42,0.373678,-0.536306,0.0875178,
2020-03-10T17:00:04.350617+00:00,42,0.373398,-0.534816,0.0855585,
2020-03-10T17:00:04.383486+00:00,42,0.373335,-0.533884,0.085253,
2020-03-10T17:00:04.420392+00:00,42,0.373221,-0.532892,0.0884851,
2020-03-10T17:00:04.450574+00:00,42,0.373156,-0.532482,0.0897156,
2020-03-10T17:00:04.482557+00:00,42,0.373041,-0.532188,0.0897509,
2020-03-10T17:00:04.518424+00:00,42,0.372933,-0.530967,0.0816981,
2020-03-10T17:00:04.552343+00:00,42,0.372377,-0.529783,0.0800771,
2020-03-10T17:00:04.584957+00:00,42,0.371837,-0.527111,0.0840795,
2020-03-10T17:00:04.618454+00:00,42,0.371625,-0.525986,0.0886844,
2020-03-10T17:00:04.650804+00:00,42,0.372083,-0.524709,0.0950596,
2020-03-10T17:00:04.683747+00:00,42,0.372539,-0.524472,0.0945274,
2020-03-10T17:00:04.718723+00:00,42,0.372497,-0.524157,0.0944746,
2020-03-10T17:00:04.751231+00:00,42,0.372488,-0.522797,0.0819059,
2020-03-10T17:00:04.782582+00:00,42,0.372114,-0.522,0.0795276,
2020-03-10T17:00:04.819079+00:00,42,0.371526,-0.520386,0.0826214,
2020-03-10T17:00:04.851723+00:00,42,0.371419,-0.518692,0.0811512,
2020-03-10T17:00:04.882869+00:00,42,0.370874,-0.51751,0.0847789,
2020-03-10T17:00:04.920046+00:00,42,0.371095,-0.516665,0.0884207,
2020-03-10T17:00:04.951165+00:00,42,0.370919,-0.51611,0.0902255,
2020-03-10T17:00:04.982673+00:00,42,0.371106,-0.515717,0.092501,
2020-03-10T17:00:05.019348+00:00,42,0.37088,-0.513861,0.085086,
2020-03-10T17:00:05.050726+00:00,42,0.370272,-0.512103,0.0859144,
2020-03-10T17:00:05.085098+00:00,42,0.370236,-0.510381,0.0832734,
